File_Name,Field_Name,Acquisition_Date,Cloud_Coverage,Sensor_Type,Sensor_Quality,Datataken_ID,Downloaded
"['3DEP1M_bbell.tif', 'bbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_bbell.tif', 'bbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_bbell.tif', 'bbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_bbell.tif', 'bbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_bkemp.tif', 'bkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_bkemp.tif', 'bkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_bkemp.tif', 'bkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_bkemp.tif', 'bkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_black.tif', 'black', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_black.tif', 'black', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_black.tif', 'black', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_black.tif', 'black', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_btrust.tif', 'btrust', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_btrust.tif', 'btrust', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_btrust.tif', 'btrust', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_btrust.tif', 'btrust', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_coder.tif', 'coder', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_coder.tif', 'coder', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_coder.tif', 'coder', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_coder.tif', 'coder', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_conley.tif', 'conley', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_conley.tif', 'conley', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_conley.tif', 'conley', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_conley.tif', 'conley', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_conner.tif', 'conner', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_conner.tif', 'conner', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_conner.tif', 'conner', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_conner.tif', 'conner', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_cook.tif', 'cook', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_cook.tif', 'cook', 'Not Applicable', '3DEP', 'Yes']"
