File_Name,Field_Name,Acquisition_Date,Cloud_Coverage,Sensor_Type,Sensor_Quality,Datataken_ID,Downloaded
"['S2_btrust_2019-01-04.tif', 'btrust', '2019-01-04', 0.116489, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']"
"['S2_btrust_2019-01-09.tif', 'btrust', '2019-01-09', 0.691113, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_btrust_2019-01-04.tif', 'btrust', '2019-01-04', 0.116489, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']","['S2_btrust_2019-01-09.tif', 'btrust', '2019-01-09', 0.691113, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_dahlen_2019-01-04.tif', 'dahlen', '2019-01-04', 1.536687, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']"
"['S2_dahlen_2019-01-09.tif', 'dahlen', '2019-01-09', 0.517845, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_dahlen_2019-01-19.tif', 'dahlen', '2019-01-19', 1.203452, 'Sentinel-2B', None, 'GS2B_20190119T165629_009776_N02.11', 'Yes']"
"['S2_dahlen_2019-01-27.tif', 'dahlen', '2019-01-27', 6.353245, 'Sentinel-2A', None, 'GS2A_20190127T170551_018799_N02.11', 'Yes']"
"['S2_dahlen_2019-01-04.tif', 'dahlen', '2019-01-04', 1.536687, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']","['S2_dahlen_2019-01-09.tif', 'dahlen', '2019-01-09', 0.517845, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']","['S2_dahlen_2019-01-19.tif', 'dahlen', '2019-01-19', 1.203452, 'Sentinel-2B', None, 'GS2B_20190119T165629_009776_N02.11', 'Yes']","['S2_dahlen_2019-01-27.tif', 'dahlen', '2019-01-27', 6.353245, 'Sentinel-2A', None, 'GS2A_20190127T170551_018799_N02.11', 'Yes']"
"['S2_freddies_2019-01-04.tif', 'freddies', '2019-01-04', 0.116489, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']"
"['S2_freddies_2019-01-09.tif', 'freddies', '2019-01-09', 0.691113, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_freddies_2019-01-04.tif', 'freddies', '2019-01-04', 0.116489, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']","['S2_freddies_2019-01-09.tif', 'freddies', '2019-01-09', 0.691113, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_uimelrose_2019-01-04.tif', 'uimelrose', '2019-01-04', 1.536687, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']"
"['S2_uimelrose_2019-01-09.tif', 'uimelrose', '2019-01-09', 0.517845, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']"
"['S2_uimelrose_2019-01-19.tif', 'uimelrose', '2019-01-19', 1.203452, 'Sentinel-2B', None, 'GS2B_20190119T165629_009776_N02.11', 'Yes']"
"['S2_uimelrose_2019-01-27.tif', 'uimelrose', '2019-01-27', 6.353245, 'Sentinel-2A', None, 'GS2A_20190127T170551_018799_N02.11', 'Yes']"
"['S2_uimelrose_2019-01-04.tif', 'uimelrose', '2019-01-04', 1.536687, 'Sentinel-2A', None, 'GS2A_20190104T165701_018470_N02.11', 'Yes']","['S2_uimelrose_2019-01-09.tif', 'uimelrose', '2019-01-09', 0.517845, 'Sentinel-2B', None, 'GS2B_20190109T165659_009633_N02.11', 'Yes']","['S2_uimelrose_2019-01-19.tif', 'uimelrose', '2019-01-19', 1.203452, 'Sentinel-2B', None, 'GS2B_20190119T165629_009776_N02.11', 'Yes']","['S2_uimelrose_2019-01-27.tif', 'uimelrose', '2019-01-27', 6.353245, 'Sentinel-2A', None, 'GS2A_20190127T170551_018799_N02.11', 'Yes']"
"['S2_SR_HARM_bbell_2018-12-10.tif', 'bbell', '2018-12-10', 9.64603, 'Sentinel-2B', None, 'GS2B_20181210T165659_009204_N02.11', 'Yes']"
"['S2_SR_HARM_bbell_2018-12-15.tif', 'bbell', '2018-12-15', 1.599161, 'Sentinel-2A', None, 'GS2A_20181215T165711_018184_N02.11', 'Yes']"
"['S2_SR_HARM_bbell_2018-12-23.tif', 'bbell', '2018-12-23', 0.230223, 'Sentinel-2B', None, 'GS2B_20181223T170719_009390_N02.11', 'Yes']"
"['S2_SR_HARM_bbell_2018-12-25.tif', 'bbell', '2018-12-25', 8.624048, 'Sentinel-2A', None, 'GS2A_20181225T165711_018327_N02.11', 'Yes']"
